Case;Date;Action
814088.176120@t-online;2017-05-18 11:33:00;Job Offer / Contract Negotiation
414205.425243@outlook;2018-04-02 19:23:00;Initial Application by Candidate
414205.425243@outlook;2018-04-02 19:25:00;Automatic Reply
414205.425243@outlook;2018-04-07 08:03:00;Internal Communication / Clarification of Requirements
414205.425243@outlook;2018-04-07 14:15:00;Internal Communication / Clarification of Requirements
414205.425243@outlook;2018-04-07 14:25:00;Internal Communication / Clarification of Requirements
414205.425243@outlook;2018-04-08 07:21:00;Internal Communication / Clarification of Requirements
414205.425243@outlook;2018-04-08 09:45:00;Internal Communication / Clarification of Requirements
414205.425243@outlook;2018-04-08 09:56:00;Internal Communication / Clarification of Requirements
414205.425243@outlook;2018-04-09 08:12:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
414205.425243@outlook;2018-04-11 09:43:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
414205.425243@outlook;2018-04-17 13:21:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
414205.425243@outlook;2018-04-25 08:30:00;Job Offer / Contract Negotiation
237228.286748@att.net;2019-10-04 23:41:00;Initial Application by Candidate
237228.286748@att.net;2019-10-04 23:42:00;Automatic Reply
237228.286748@att.net;2019-10-06 08:12:00;Internal Communication / Clarification of Requirements
237228.286748@att.net;2019-10-06 08:44:00;Internal Communication / Clarification of Requirements
237228.286748@att.net;2019-10-06 09:31:00;Internal Communication / Clarification of Requirements
237228.286748@att.net;2019-10-06 11:43:00;Internal Communication / Clarification of Requirements
237228.286748@att.net;2019-10-07 08:45:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
237228.286748@att.net;2019-10-07 07:33:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
237228.286748@att.net;2019-10-07 08:20:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
237228.286748@att.net;2019-10-11 08:45:00;Internal Communication / Clarification of Requirements
237228.286748@att.net;2019-10-12 07:33:00;Job Offer / Contract Negotiation
237228.286748@att.net;2019-10-13 08:38:00;Job Offer / Contract Negotiation
741121.111353@freemail;2019-01-14 22:11:00;Initial Application by Candidate
741121.111353@freemail;2019-01-14 22:12:00;Automatic Reply
741121.111353@freemail;2019-01-17 08:33:00;Internal Communication / Clarification of Requirements
741121.111353@freemail;2019-01-17 12:33:00;Internal Communication / Clarification of Requirements
741121.111353@freemail;2019-01-17 15:11:00;Internal Communication / Clarification of Requirements
741121.111353@freemail;2019-01-17 16:27:00;Internal Communication / Clarification of Requirements
741121.111353@freemail;2019-01-19 11:11:00;Internal Communication / Clarification of Requirements
741121.111353@freemail;2019-01-19 13:05:00;Internal Communication / Clarification of Requirements
741121.111353@freemail;2019-01-19 14:20:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
741121.111353@freemail;2019-01-19 15:01:00;Automatic Reply
728435.285352@onemail;2019-03-14 09:10:00;Initial Application by Candidate
728435.285352@onemail;2019-03-14 09:11:00;Automatic Reply
728435.285352@onemail;2019-03-18 08:00:00;Internal Communication / Clarification of Requirements
728435.285352@onemail;2019-03-19 11:31:00;Internal Communication / Clarification of Requirements
728435.285352@onemail;2019-03-20 09:40:00;Internal Communication / Clarification of Requirements
728435.285352@onemail;2019-03-20 09:55:00;Internal Communication / Clarification of Requirements
728435.285352@onemail;2019-03-20 10:31:00;Internal Communication / Clarification of Requirements
728435.285352@onemail;2019-03-20 11:33:00;Initial Application by Candidate
728435.285352@onemail;2019-03-20 13:48:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
728435.285352@onemail;2019-03-21 09:44:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
728435.285352@onemail;2019-03-26 09:05:00;Internal Communication / Clarification of Requirements
728435.285352@onemail;2019-03-26 10:44:00;Internal Communication / Clarification of Requirements
728435.285352@onemail;2019-03-28 09:11:00;Job Offer / Contract Negotiation
728435.285352@onemail;2019-03-28 10:01:00;Job Offer / Contract Negotiation
954111.636014@outlook;2019-06-22 11:23:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
954111.636014@outlook;2019-06-22 11:24:00;Automatic Reply
954111.636014@outlook;2019-06-25 10:19:00;Internal Communication / Clarification of Requirements
954111.636014@outlook;2019-06-25 13:44:00;Internal Communication / Clarification of Requirements
954111.636014@outlook;2019-06-25 15:01:00;Internal Communication / Clarification of Requirements
954111.636014@outlook;2019-06-25 16:44:00;Internal Communication / Clarification of Requirements
954111.636014@outlook;2019-06-26 15:44:00;Internal Communication / Clarification of Requirements
954111.636014@outlook;2019-06-27 09:22:00;Internal Communication / Clarification of Requirements
954111.636014@outlook;2019-06-27 10:43:00;Internal Communication / Clarification of Requirements
954111.636014@outlook;2019-06-27 08:12:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
409674.546260@hotmail.net;2018-08-02 19:35:00;Initial Application by Candidate
409674.546260@hotmail.net;2018-08-02 19:36:00;Automatic Reply
409674.546260@hotmail.net;2018-08-04 08:04:00;Internal Communication / Clarification of Requirements
409674.546260@hotmail.net;2018-08-04 09:03:00;Internal Communication / Clarification of Requirements
409674.546260@hotmail.net;2018-08-05 09:01:00;Internal Communication / Clarification of Requirements
409674.546260@hotmail.net;2018-08-05 14:31:00;Internal Communication / Clarification of Requirements
409674.546260@hotmail.net;2018-08-06 08:01:00;Internal Communication / Clarification of Requirements
409674.546260@hotmail.net;2018-08-06 08:07:00;Internal Communication / Clarification of Requirements
409674.546260@hotmail.net;2018-08-06 09:35:00;Internal Communication / Clarification of Requirements
409674.546260@hotmail.net;2018-08-06 09:41:00;Internal Communication / Clarification of Requirements
409674.546260@hotmail.net;2018-08-06 09:56:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
409674.546260@hotmail.net;2018-08-06 13:21:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
492744.673104@live;2018-10-13 22:11:00;Initial Application by Candidate
492744.673104@live;2018-10-13 22:12:00;Automatic Reply
492744.673104@live;2018-10-15 08:11:00;Internal Communication / Clarification of Requirements
492744.673104@live;2018-10-15 08:27:00;Internal Communication / Clarification of Requirements
492744.673104@live;2018-10-15 09:01:00;Internal Communication / Clarification of Requirements
492744.673104@live;2018-10-15 09:02:00;Internal Communication / Clarification of Requirements
492744.673104@live;2018-10-15 09:10:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
492744.673104@live;2018-10-15 09:33:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
492744.673104@live;2018-10-15 10:21:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
492744.673104@live;2018-10-15 10:25:00;Internal Communication / Clarification of Requirements
492744.673104@live;2018-10-15 10:44:00;Internal Communication / Clarification of Requirements
492744.673104@live;2018-10-21 13:11:00;Internal Communication / Clarification of Requirements
492744.673104@live;2018-10-21 15:05:00;Job Offer / Contract Negotiation
492744.673104@live;2018-10-21 16:37:00;Job Offer / Contract Negotiation
492744.673104@live;2018-10-22 08:44:00;Job Offer / Contract Negotiation
688455.657692@gmail;2019-01-02 12:33:00;Initial Application by Candidate
688455.657692@gmail;2019-01-02 12:34:00;Automatic Reply
688455.657692@gmail;2019-01-05 08:10:00;Internal Communication / Clarification of Requirements
688455.657692@gmail;2019-01-05 14:31:00;Internal Communication / Clarification of Requirements
688455.657692@gmail;2019-01-06 15:20:00;Internal Communication / Clarification of Requirements
688455.657692@gmail;2019-01-06 16:03:00;Internal Communication / Clarification of Requirements
688455.657692@gmail;2019-01-06 17:04:00;Internal Communication / Clarification of Requirements
688455.657692@gmail;2019-01-07 09:12:00;Internal Communication / Clarification of Requirements
688455.657692@gmail;2019-01-07 09:33:00;Internal Communication / Clarification of Requirements
688455.657692@gmail;2019-01-07 10:11:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
688455.657692@gmail;2019-01-07 11:12:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
688455.657692@gmail;2019-01-07 14:33:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
688455.657692@gmail;2019-01-14 09:22:00;Job Offer / Contract Negotiation
688455.657692@gmail;2019-01-14 13:01:00;Job Offer / Contract Negotiation
688455.657692@gmail;2019-01-14 15:54:00;Job Offer / Contract Negotiation
745241.487024@outlook;2019-02-13 11:45:00;Initial Application by Candidate
745241.487024@outlook;2019-02-13 11:46:00;Automatic Reply
745241.487024@outlook;2019-02-14 09:11:00;Internal Communication / Clarification of Requirements
745241.487024@outlook;2019-02-14 15:33:00;Internal Communication / Clarification of Requirements
745241.487024@outlook;2019-02-15 08:33:00;Internal Communication / Clarification of Requirements
745241.487024@outlook;2019-02-18 09:19:00;Internal Communication / Clarification of Requirements
745241.487024@outlook;2019-02-18 16:41:00;Internal Communication / Clarification of Requirements
745241.487024@outlook;2019-02-19 08:56:00;Application Declined
326756.518948@abcmail;2019-04-02 08:11:00;Initial Application by Candidate
326756.518948@abcmail;2019-04-02 08:12:00;Automatic Reply
326756.518948@abcmail;2019-04-04 11:12:00;Internal Communication / Clarification of Requirements
326756.518948@abcmail;2019-04-07 08:01:00;Internal Communication / Clarification of Requirements
326756.518948@abcmail;2019-04-07 08:33:00;Internal Communication / Clarification of Requirements
326756.518948@abcmail;2019-04-07 13:12:00;Internal Communication / Clarification of Requirements
326756.518948@abcmail;2019-04-08 08:19:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
326756.518948@abcmail;2019-04-08 10:31:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
326756.518948@abcmail;2019-04-08 13:43:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
326756.518948@abcmail;2019-04-16 11:00:00;Job Offer / Contract Negotiation
264280.941925@onemail.net;2019-07-04 22:29:00;Initial Application by Candidate
264280.941925@onemail.net;2019-07-04 22:30:00;Automatic Reply
264280.941925@onemail.net;2019-07-09 08:19:00;Internal Communication / Clarification of Requirements
264280.941925@onemail.net;2019-07-11 13:31:00;Internal Communication / Clarification of Requirements
264280.941925@onemail.net;2019-07-11 14:34:00;Internal Communication / Clarification of Requirements
264280.941925@onemail.net;2019-07-11 15:01:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
264280.941925@onemail.net;2019-07-11 15:23:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
264280.941925@onemail.net;2019-07-11 15:44:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
264280.941925@onemail.net;2019-07-16 15:01:00;Internal Communication / Clarification of Requirements
264280.941925@onemail.net;2019-07-16 15:14:00;Internal Communication / Clarification of Requirements
264280.941925@onemail.net;2019-07-16 15:33:00;Job Offer / Contract Negotiation
264280.941925@onemail.net;2019-07-16 16:07:00;Job Offer / Contract Negotiation
264280.941925@onemail.net;2019-07-16 17:05:00;Job Offer / Contract Negotiation
508239.582700@outlook;2019-07-25 06:12:00;Initial Application by Candidate
508239.582700@outlook;2019-07-25 06:13:00;Automatic Reply
508239.582700@outlook;2019-07-27 07:44:00;Internal Communication / Clarification of Requirements
508239.582700@outlook;2019-07-27 09:44:00;Internal Communication / Clarification of Requirements
508239.582700@outlook;2019-07-27 11:33:00;Internal Communication / Clarification of Requirements
508239.582700@outlook;2019-07-27 14:55:00;Internal Communication / Clarification of Requirements
508239.582700@outlook;2019-07-27 14:58:00;Internal Communication / Clarification of Requirements
508239.582700@outlook;2019-07-27 16:51:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
508239.582700@outlook;2019-07-27 18:33:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
508239.582700@outlook;2019-07-28 09:11:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
152154.520974@ziegler-cat;2019-09-03 08:31:00;Internal Communication / Clarification of Requirements
152154.520974@ziegler-cat;2019-09-06 08:55:00;Internal Communication / Clarification of Requirements
152154.520974@ziegler-cat;2019-09-07 16:31:00;Application Declined
364149.576885@live;2019-09-18 17:11:00;Initial Application by Candidate
364149.576885@live;2019-09-18 17:12:00;Automatic Reply
364149.576885@live;2019-09-21 08:01:00;Internal Communication / Clarification of Requirements
364149.576885@live;2019-09-21 13:30:00;Internal Communication / Clarification of Requirements
364149.576885@live;2019-09-21 14:33:00;Internal Communication / Clarification of Requirements
364149.576885@live;2019-09-21 17:01:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
364149.576885@live;2019-09-21 19:34:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
364149.576885@live;2019-09-22 08:02:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
364149.576885@live;2019-09-27 13:56:00;Internal Communication / Clarification of Requirements
364149.576885@live;2019-09-27 15:47:00;Internal Communication / Clarification of Requirements
364149.576885@live;2019-09-27 16:03:00;Job Offer / Contract Negotiation
364149.576885@live;2019-09-27 16:33:00;Job Offer / Contract Negotiation
364149.576885@live;2019-09-27 16:59:00;Job Offer / Contract Negotiation
761883.327972@live.net;2019-11-08 11:47:00;Initial Application by Candidate
761883.327972@live.net;2019-11-08 11:48:00;Automatic Reply
761883.327972@live.net;2019-11-12 08:31:00;Internal Communication / Clarification of Requirements
761883.327972@live.net;2019-11-12 14:31:00;Internal Communication / Clarification of Requirements
761883.327972@live.net;2019-11-13 09:34:00;Internal Communication / Clarification of Requirements
761883.327972@live.net;2019-11-13 15:31:00;Internal Communication / Clarification of Requirements
761883.327972@live.net;2019-11-13 17:44:00;Job Offer / Contract Negotiation
761883.327972@live.net;2019-11-14 10:31:00;Internal Communication / Clarification of Requirements
761883.327972@live.net;2019-11-14 16:54:00;Internal Communication / Clarification of Requirements
761883.327972@live.net;2019-11-15 13:18:00;Internal Communication / Clarification of Requirements
761883.327972@live.net;2019-11-16 09:11:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
761883.327972@live.net;2019-11-16 09:14:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
761883.327972@live.net;2019-11-16 10:31:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
761883.327972@live.net;2019-11-21 08:11:00;Job Offer / Contract Negotiation
761883.327972@live.net;2019-11-22 08:01:00;Job Offer / Contract Negotiation
761883.327972@live.net;2019-11-22 09:06:00;Job Offer / Contract Negotiation
359980.245716@outlook;2020-01-07 22:16:00;Initial Application by Candidate
359980.245716@outlook;2020-01-07 22:17:00;Automatic Reply
359980.245716@outlook;2020-01-10 08:36:00;Internal Communication / Clarification of Requirements
359980.245716@outlook;2020-01-10 17:05:00;Internal Communication / Clarification of Requirements
359980.245716@outlook;2020-01-10 18:33:00;Internal Communication / Clarification of Requirements
359980.245716@outlook;2020-01-11 09:44:00;Internal Communication / Clarification of Requirements
359980.245716@outlook;2020-01-11 15:31:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
359980.245716@outlook;2020-01-11 17:45:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
359980.245716@outlook;2020-01-12 08:01:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
359980.245716@outlook;2020-01-17 09:54:00;Internal Communication / Clarification of Requirements
359980.245716@outlook;2020-01-17 10:31:00;Internal Communication / Clarification of Requirements
359980.245716@outlook;2020-01-18 11:18:00;Job Offer / Contract Negotiation
359980.245716@outlook;2020-01-18 15:21:00;Job Offer / Contract Negotiation
359980.245716@outlook;2020-01-18 16:05:00;Job Offer / Contract Negotiation
137987.815738@one.net;2020-03-05 09:45:00;Initial Application by Candidate
137987.815738@one.net;2020-03-05 09:46:00;Automatic Reply
137987.815738@one.net;2020-03-07 08:11:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
137987.815738@one.net;2020-03-07 08:21:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
137987.815738@one.net;2020-03-07 08:23:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
137987.815738@one.net;2020-03-12 09:45:00;Job Offer / Contract Negotiation
137987.815738@one.net;2020-03-12 09:59:00;Job Offer / Contract Negotiation
137987.815738@one.net;2020-03-12 10:14:00;Job Offer / Contract Negotiation
533921.131155@onemail.net;2020-04-18 22:34:00;Initial Application by Candidate
533921.131155@onemail.net;2020-04-18 22:35:00;Automatic Reply
533921.131155@onemail.net;2020-04-21 08:34:00;Internal Communication / Clarification of Requirements
533921.131155@onemail.net;2020-04-21 09:45:00;Internal Communication / Clarification of Requirements
533921.131155@onemail.net;2020-04-21 10:46:00;Internal Communication / Clarification of Requirements
533921.131155@onemail.net;2020-04-21 10:47:00;Internal Communication / Clarification of Requirements
533921.131155@onemail.net;2020-04-21 11:31:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
533921.131155@onemail.net;2020-04-21 13:45:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
533921.131155@onemail.net;2020-04-21 15:01:00;Organizational Communication with Candidate for Clarification of Skills or Interview Invitation
533921.131155@onemail.net;2020-04-28 12:01:00;Internal Communication / Clarification of Requirements
533921.131155@onemail.net;2020-04-28 13:05:00;Internal Communication / Clarification of Requirements
533921.131155@onemail.net;2020-04-28 17:05:00;Application Declined
