From;To;Datetime;Message-ID;In-Reply-To;Subject;Content;Label
j.parker@ziegler-cat.com;f.huber@ziegler-cat.com;13.05.2017 17:31:00;711593.469390@ziegler-cat;;Python Skills Mister Mayer;"Hello Francis,

it seems that Mr Mayer who applied for the internship position in your department has comprehensive Python skills, he told me he was responsible for maintaining the codebase of a frequently used tool in his department and that he also took several courses at university.

What do you think?

Best,
Jessica";3
f.huber@ziegler-cat.com;j.parker@ziegler-cat.com;14.05.2017 09:44:00;371857.989337@ziegler-cat;711593.469390@ziegler-cat;Re: Python Skills Mister Mayer;"Hi Jessica,

That's fantastic! Mister Mayer seems to be perfectly suitable - we would be happy to have him as intern in our department.

Best regards,
francis";3
j.parker@ziegler-cat.com;f.huber@ziegler-cat.com;14.05.2017 10:36:00;894933.653877@ziegler-cat;371857.989337@ziegler-cat;Re:Re: Python Skills Mister Mayer;"Alright, I will inform him and invite him to a personal meeting. Do you also want to attend the interview?

Thanks,
Jessica";3
f.huber@ziegler-cat.com;j.parker@ziegler-cat.com;14.05.2017 14:21:00;638572.271225@ziegler-cat;894933.653877@ziegler-cat;Re:Re:Re: Python Skills Mister Mayer;"I think it will not be necessary, thanks for asking!

Best,
Francis";3
j.parker@ziegler-cat.com;jmayer94@gmail.com;14.05.2017 16:33:00;855066.315545@ziegler-cat;;Application for an Internship in Summer 2022;"Dear Mister Mayer,

thank you for your application and your waiting. We have screened your documents and we would like to meet you in person. For this reason, we would like to invite you to our headquarter in Sioux City on the 21st of May at 1pm.

Please let us know if the date and time are suitable for you.

We are looking forward to your reply and to seeing you in person.

Best regards
Jessica Parker
Junior Associate Human Resource and Employer Marketing

Ziegler Caterpillar
5300 Harbor Dr Sioux City,
IA 51111
(712) 252-4401.
office@ziegler-cat.com
CONFIDENTIALITY NOTICE: The contents of this email message and any attachments are intended solely for the addressee(s) and may contain confidential and/or privileged information and may be legally protected from disclosure.";4
jmayer94@gmail.com;j.parker@ziegler-cat.com;15.05.2017 09:01:00;968613.143971@gmail;855066.315545@ziegler-cat;Re:Re:Re: Application for an Internship in Summer 2022;"Dear Ms. Parker,

thank you for your reply and for your kind invitation. The proposed date for a personal meeting works fine for me.
I am looking forward to meeting you!

Best regards
James Mayer";4
j.parker@ziegler-cat.com;jmayer94@gmail.com;15.05.2017 09:31:00;742061.202131@ziegler-cat;968613.143971@gmail;Invitation for Personal Meeting;"Dear Mister Mayer,

We are happy to hear that. My assistant will meet you at the lobby on the 21st of May at 1pm. Please find attached an .ical file for your electronic calendar.
If you happen to have any prior questions, feel free to ask them anytime via email.

Best regards
Jessica Parker
Junior Associate Human Resource and Employer Marketing

Ziegler Caterpillar
5300 Harbor Dr Sioux City,
IA 51111
(712) 252-4401.
office@ziegler-cat.com
CONFIDENTIALITY NOTICE: The contents of this email message and any attachments are intended solely for the addressee(s) and may contain confidential and/or privileged information and may be legally protected from disclosure.";4
j.parker@ziegler-cat.com;jmayer94@gmail.com;23.05.2017 10:21:00;768131.892498@ziegler-cat;;Work contract and start of work;"Dear Mister Mayer,

it was a pleasure to meet you in person and we're happy to have you on board.
As discussed yesterday, the first day of your work will be the 1st of April, please meet Mister Huber, the head of the Department ""Mechanical Engineering"" at 09:00 am at the lobby.

Furthermore, I attached a digital copy of the mutually signed work contract for you.
If you have any questions regarding your future work, please feel free to ask Mister Huber (f.huber@ziegler-cat.com).

Best regards
Jessica Parker
Junior Associate Human Resource and Employer Marketing

Ziegler Caterpillar
5300 Harbor Dr Sioux City,
IA 51111
(712) 252-4401.
office@ziegler-cat.com
CONFIDENTIALITY NOTICE: The contents of this email message and any attachments are intended solely for the addressee(s) and may contain confidential and/or privileged information and may be legally protected from disclosure.";4
j.parker@ziegler-cat.com;young.leslie@outlook.com;11.08.2019 13:44:00;313313.145302@ziegler-cat;;Your Application at Ziegler-Cat;"Dear Mister Young,

Thank you a lot for your interest in our company!
we received your application on LinkedIn and are currently screening your data.
As soon, as this is done we will contact you again.

In the meantime feel free to check out our website to stay up to date about our products and services:
https://ziegler-cat.com

Best regards
Jessica Parker
Junior Associate Human Resource and Employer Marketing

Ziegler Caterpillar
5300 Harbor Dr Sioux City,
IA 51111
(712) 252-4401.
office@ziegler-cat.com
CONFIDENTIALITY NOTICE: The contents of this email message and any attachments are intended solely for the addressee(s) and may contain confidential and/or privileged information and may be legally protected from disclosure.
";2
j.parker@ziegler-cat.com;young.leslie@outlook.com;13.08.2019 11:44:00;340846.702516@ziegler-cat;;Your Application at Ziegler-Cat;"Dear Mister Young,

After having screened your application, unfortunately we came to the conclusion that you are not suited for the position you applied for. Nevertheless, we wish to you all the best for your future career.

Best regards
Jessica Parker
Junior Associate Human Resource and Employer Marketing

Ziegler Caterpillar
5300 Harbor Dr Sioux City,
IA 51111
(712) 252-4401.
office@ziegler-cat.com
CONFIDENTIALITY NOTICE: The contents of this email message and any attachments are intended solely for the addressee(s) and may contain confidential and/or privileged information and may be legally protected from disclosure.";4
maria.bender@hotmail.de;office@ziegler-cat.com;01.08.2017 09:33:00;845004.404129@hotmail.de;;Application;"Dear sir or madam,

I hereby want to apply for the position of ""Hardware Testing Engineer"" posted on your website.
I think that my academic journey as well as my previous career stations qualify me well for the job. My resume, motivation letter and transcripts are attached.

I am looking forward to hearing from you!

Best regards
Maria Bender";1
j.parker@ziegler-cat.com;maria.bender@hotmail.de;01.08.2017 09:35:00;843857.291834@ziegler-cat;845004.404129@hotmail.de;Your Application at Ziegler-Cat;"Dear Ms. Bender,

thank you a lot for your appliation which has been well received! Currently, many emails are reaching us - therefore please allow us up to 10 business days to reply to your application.

Thank you for your understanding.

Best regards
Jessica Parker
Junior Associate Human Resource and Employer Marketing

Ziegler Caterpillar
5300 Harbor Dr Sioux City,
IA 51111
(712) 252-4401.
office@ziegler-cat.com
CONFIDENTIALITY NOTICE: The contents of this email message and any attachments are intended solely for the addressee(s) and may contain confidential and/or privileged information and may be legally protected from disclosure.";2
j.parker@ziegler-cat.com;maria.bender@hotmail.de;10.08.2017 16:33:00;342358.873395@ziegler-cat;843857.291834@ziegler-cat;Re: Your Application at Ziegler-Cat;"Dear Ms. Bender,

thank you a lot for your application at Ziegler-Cat and your patience. During screening of your documents, we found that your transcript for you Bachelor's degree was missing. Please attach the digital transcript by replying to this message in order to allow for a swift processing of your application.

Thank you and best regards

Best regards
Jessica Parker
Junior Associate Human Resource and Employer Marketing

Ziegler Caterpillar
5300 Harbor Dr Sioux City,
IA 51111
(712) 252-4401.
office@ziegler-cat.com
CONFIDENTIALITY NOTICE: The contents of this email message and any attachments are intended solely for the addressee(s) and may contain confidential and/or privileged information and may be legally protected from disclosure.";4
maria.bender@hotmail.de;j.parker@ziegler-cat.com;10.08.2017 17:05:00;962993.698901@hotmail.de;342358.873395@ziegler-cat;Re:Re: Your Application at Ziegler Cat;"Dear Ms Parker,

please find attached the missing transcript. I want to apologize for any inconvenience and would be happy to introduce myself in person.

Sincerely,
Maria Bender";4
j.parker@ziegler-cat.com;maria.bender@hotmail.de;11.08.2017 08:01:00;251918.721446@ziegler-cat;962993.698901@hotmail.de;Re:Re:Re: Your Application at Ziegler Cat;"Dear Ms. Bender,
thank you for the document. The assessment of your application can now be continued as all of the required documents are present. We will get in touch with you, when the screening is finished.

Thank you and best regards
Best regards
Jessica Parker
Junior Associate Human Resource and Employer Marketing

Ziegler Caterpillar
5300 Harbor Dr Sioux City,
IA 51111
(712) 252-4401.
office@ziegler-cat.com
CONFIDENTIALITY NOTICE: The contents of this email message and any attachments are intended solely for the addressee(s) and may contain confidential and/or privileged information and may be legally protected from disclosure.";4
j.parker@ziegler-cat.com;j.schwartz@ziegler-cat.com;12.08.2017 08:03:00;722339.285165@ziegler-cat;;Applicant for Hardware Testing Engineer;"Dear Joachim,

we have an applicant for the Hardware Testing Engineer position. The first impression is good and I would like to invite her for an interview. I attached her resume for you to check as well. Do you have time on the 21st of August at 09:00am to also take part in the interview?

Thanks,
Jessica";3
j.schwartz@ziegler-cat.com;j.parker@ziegler-cat.com;12.08.2017 11:11:00;384333.893865@ziegler-cat;722339.285165@ziegler-cat;Re: Applicant for Hardware Testing Engineer;"Hi Jessica,

Miss Bender's profile looks good, I will happily take part in the interview. The proposed date is fine for me.

Best,
Joachim";3
j.parker@ziegler-cat.com;maria.bender@hotmail.de;13.08.2017 09:05:00;717806.834653@ziegler-cat;;Invitation for Interview;"Dear Ms. Bender,

After having assessed your application documents, we would like to invite you to our headquarter to get to know you in person. The meeting would be scheduled for the 21st of August at 9:00am. Please let me know if that date and time work for you.

Best regards
Jessica Parker
Junior Associate Human Resource and Employer Marketing

Ziegler Caterpillar
5300 Harbor Dr Sioux City,
IA 51111
(712) 252-4401.
office@ziegler-cat.com
CONFIDENTIALITY NOTICE: The contents of this email message and any attachments are intended solely for the addressee(s) and may contain confidential and/or privileged information and may be legally protected from disclosure.";4
maria.bender@hotmail.de;j.parker@ziegler-cat.com;13.08.2017 09:33:00;497679.599046@hotmail.de;717806.834653@ziegler-cat;Re: Invitation for Interview;"Dear Ms. Hoeller,

thank you for your consideration and the invitation for a personal meeting. The proposed date works well for me and I am looking forward to seeing you in person.

Best regards
Maria Bender";4
j.parker@ziegler-cat.com;maria.bender@hotmail.de;23.08.2017 08:05:00;611611.136782@ziegler-cat;;Work Contract;"Dear Ms. Bender,

It was a pleasure to meet you in person. We liked your performance at the interview and would be happy if you choose to work with us.
Please find attached a draft for a working contract as discussed in the end of the interview. Please tell us if you agree on the conditions, we're happy to hearing from you.

Best regards
Jessica Parker
Junior Associate Human Resource and Employer Marketing

Ziegler Caterpillar
5300 Harbor Dr Sioux City,
IA 51111
(712) 252-4401.
office@ziegler-cat.com
CONFIDENTIALITY NOTICE: The contents of this email message and any attachments are intended solely for the addressee(s) and may contain confidential and/or privileged information and may be legally protected from disclosure.";4
maria.bender@hotmail.de;j.parker@ziegler-cat.com;23.08.2017 08:55:00;829527.909491@hotmail.de;611611.136782@ziegler-cat;Re: Work Contract;"Dear Ms Parker,
thank you for your email and the offer to work with your company!
As discussed in the interview, my salary expectations are higher than those outlined in your proposal, I added some comments in the attached PDF and I would be happy if the respective clauses in the contract could be adapted.

Thank you in advance and best regards
Maria Bender";4
j.parker@ziegler-cat.com;maria.bender@hotmail.de;23.08.2017 09:10:00;403404.328057@ziegler-cat;829527.909491@hotmail.de;Re:Re: Work Contract;"Dear Ms. Bender,
thank you for you reply. For the salary level you asked for, I have to consult with the respective department. I will get back to you as soon as I can tell you more.

Best regards
Jessica Parker
Junior Associate Human Resource and Employer Marketing

Ziegler Caterpillar
5300 Harbor Dr Sioux City,
IA 51111
(712) 252-4401.
office@ziegler-cat.com
CONFIDENTIALITY NOTICE: The contents of this email message and any attachments are intended solely for the addressee(s) and may contain confidential and/or privileged information and may be legally protected from disclosure.";3
j.parker@ziegler-cat.com;p.black@ziegler-cat.com;23.08.2017 09:15:00;744891.818470@ziegler-cat;;Inquiry regarding salary of applicant;"Dear Mister Black,

I am contacting you because of an applicant for the open position of Hardware Testing Engineer. We found a qualified candidate, however her salary expectations are more than 50% above what we offer. How much do you think we can pay maximum? I think without any overpayment it will be very difficult to find suitable candidates, the position has been open for more than five months.

Thank you in advance and best regards
Jessica";3
p.black@ziegler-cat.com;j.parker@ziegler-cat.com;25.08.2017 07:55:00;220782.513000@ziegler-cat;744891.818470@ziegler-cat;Re: Inquiry regarding salary of applicant;"Dear Ms Parker,

I am aware of the vacancy and also that we will need to pay more to find the best candidates. 50% however is exceeding our budget by far. The maximum surplus we can offer is +25%.

Best regards
Peter Black";3
j.parker@ziegler-cat.com;p.black@ziegler-cat.com;25.08.2017 09:04:00;960910.125905@ziegler-cat;220782.513000@ziegler-cat;Re:Re: Inquiry regarding salary of applicant;"Dear Mister Black,

thank you for the information, I will forward it to the candidate.

Best,
Jessica Parker";3
j.parker@ziegler-cat.com;maria.bender@hotmail.de;25.08.2017 09:30:00;704466.603685@ziegler-cat;829527.909491@hotmail.de;Re:Re:Re: Work Contract;"Dear Ms. Bender,

After consultations, we want to offer you a salary which lies in the middle between our proposal and the salary you asked for. Additionally, we can offer five more paid holidays per year. Please find the revised contract (the amendments you made have been included) in the attachment. If you agree, please sign the contract and send it back to me.

Best regards
Jessica Parker
Junior Associate Human Resource and Employer Marketing

Ziegler Caterpillar
5300 Harbor Dr Sioux City,
IA 51111
(712) 252-4401.
office@ziegler-cat.com
CONFIDENTIALITY NOTICE: The contents of this email message and any attachments are intended solely for the addressee(s) and may contain confidential and/or privileged information and may be legally protected from disclosure.";4
maria.bender@hotmail.de;j.parker@ziegler-cat.com;25.08.2017 10:44:00;239585.606944@hotmail.de;704466.603685@ziegler-cat;Re:Re:Re:Re: Work Contract;"Dear Ms. Parker,
thank you a lot for the revised version of the contract which works fine for me. Please find attached the signed document.

Best Regards
Maria Bender";4
j.parker@ziegler-cat.com;maria.bender@hotmail.de;25.08.2017 13:45:00;685965.765038@ziegler-cat;239585.606944@hotmail.de;Re:Re:Re:Re:Re: Work Contract;"Dear Ms. Bender,

we are happy to have you on board. As specified in the contract, your first day of work will be the 1st of April. Please feel free to ask any questions that might arise to your head of department, Mr. Joachim Gruber (j.gruber@ziegler-cat.com). He will meet you on the first day of your work at 08:30am at the lobby.

Best regards
Jessica Parker
Junior Associate Human Resource and Employer Marketing

Ziegler Caterpillar
5300 Harbor Dr Sioux City,
IA 51111
(712) 252-4401.
office@ziegler-cat.com
CONFIDENTIALITY NOTICE: The contents of this email message and any attachments are intended solely for the addressee(s) and may contain confidential and/or privileged information and may be legally protected from disclosure.";4
m.lloyd@gmail.com;office@ziegler-cat.com;02.11.2018 14:31:00;218451.190350@gmail;;Application as a software engineer;"Dear sir or madam,

I would like to apply for the position as software engineer as outlined on your webpage. While I have a working experience of only one year, I want to stress that I was among the best students at university in all programming courses. Furthermore, I have been working as a freelance programmer for the past five years doing small and medium projects.

I would be happy if you consider my application, the required documents are attached.

Best regards,
Max Lloyd";1
j.parker@ziegler-cat.com;m.lloyd@gmail.com;02.11.2018 14:32:00;150726.438874@ziegler-cat;218451.190350@gmail;Re: Application as a software engineer;"Dear Mr. Lloyd,

thank you a lot for your appliation which has been well received! Currently, many emails are reaching us - therefore please allow us up to 10 business days to reply to your application.

Thank you for your understanding.

Best regards
Jessica Parker
Junior Associate Human Resource and Employer Marketing

Ziegler Caterpillar
5300 Harbor Dr Sioux City,
IA 51111
(712) 252-4401.
office@ziegler-cat.com
CONFIDENTIALITY NOTICE: The contents of this email message and any attachments are intended solely for the addressee(s) and may contain confidential and/or privileged information and may be legally protected from disclosure.";2
j.parker@ziegler-cat.com;m.lloyd@gmail.com;04.11.2018 08:05:00;797266.883813@ziegler-cat;218451.190350@gmail;Your Application at Ziegler-Cat;"Dear Mister Lloyd,

it seems like some of the required documents are missing in your application. I cannot see the resume and the transcripts of your university in your message.

Please send them as soon as possible so that we can start screening your application.

Best regards
Jessica Parker
Junior Associate Human Resource and Employer Marketing

Ziegler Caterpillar
5300 Harbor Dr Sioux City,
IA 51111
(712) 252-4401.
office@ziegler-cat.com
CONFIDENTIALITY NOTICE: The contents of this email message and any attachments are intended solely for the addressee(s) and may contain confidential and/or privileged information and may be legally protected from disclosure.";4
m.lloyd@gmail.com;j.parker@ziegler-cat.com;04.11.2018 08:55:00;678229.596049@gmail;797266.883813@ziegler-cat;Re: Your Application at Ziegler-Cat;"Dear Ms Parker,

The transcripts and the resume can both be found in the respective folder in the ZIP-Archive I sent to you in the last mail. To be sure, I attached the ZIP-file again.

Best regards
Max Lloyd";4
j.parker@ziegler-cat.com;m.lloyd@gmail.com;05.11.2018 14:30:00;181802.489545@ziegler-cat;678229.596049@gmail;Re:Re: Your Application at Ziegler-Cat;"Dear Mister Lloyd,

sorry for any inconvenience, I could find the documents in the ZIP-Archive. We will start screening your application and get back to you soon.

Best regards
Jessica Parker
Junior Associate Human Resource and Employer Marketing

Ziegler Caterpillar
5300 Harbor Dr Sioux City,
IA 51111
(712) 252-4401.
office@ziegler-cat.com
CONFIDENTIALITY NOTICE: The contents of this email message and any attachments are intended solely for the addressee(s) and may contain confidential and/or privileged information and may be legally protected from disclosure.";4
j.parker@ziegler-cat.com;j.baker@ziegler-cat.com;06.11.2018 09:08:00;937833.762364@ziegler-cat;;Applicant Software Engineer;"Dear Joseph,

it looks like we have a promising candidate for the open position as Software Engineer in your department. Please find attached his details. What do you think?

Best regards
Jessica";3
j.baker@ziegler-cat.com;j.parker@ziegler-cat.com;06.11.2018 16:01:00;972122.460270@ziegler-cat;937833.762364@ziegler-cat;Re: Applicant Software Engineer;"Dear Jessica,

I think you confused our department of Software Testing with the Software Development department. We are currently not looking for people.

Best regards
Joseph";3
j.parker@ziegler-cat.com;j.baker@ziegler-cat.com;07.11.2018 09:01:00;549843.418320@ziegler-cat;972122.460270@ziegler-cat;Re:Re: Applicant Software Engineer;"Hello Joseph,

so sorry, yes I confused your departments - I will forward it to the department head of the Software Development department.


Best regards,
Jessica";3
j.parker@ziegler-cat.com;o.schneider@ziegler-cat;07.11.2018 09:05:00;989070.803471@ziegler-cat;;Applicant Software Engineer;"Dear Oscar,
it looks like we have a promising candidate for the position as software engineer which is open in your department.
I attached his resume to the email. What do you think?

Best,
Jessica";3
o.schneider@ziegler-cat;j.parker@ziegler-cat.com;08.11.2018 13:12:00;595815.164114@ziegler-cat;989070.803471@ziegler-cat;Re: Applicant Software Engineer;"Hi Jessica,

his profile looks promising. However I cannot see any information about his duration of professional experience.
Do you know more?

Best regards,
Oscar";3
j.parker@ziegler-cat.com;o.schneider@ziegler-cat;08.11.2018 15:21:00;575565.999047@ziegler-cat;595815.164114@ziegler-cat;Re:Re: Applicant Software Engineer;"Hello Oscar,

sorry for missing that out, in his email the applicant he stated that he has been working at a company as a software engineer for one year.

Best regards
Jessica";3
o.schneider@ziegler-cat;j.parker@ziegler-cat.com;09.11.2018 07:45:00;477122.271939@ziegler-cat;575565.999047@ziegler-cat;Re:Re:Re: Applicant Software Engineer;"Hello Jessica,
unfortunately that is not enough - as outlined in the job posting we are looking for somebody who was at least five years of proven experience in software engineering.

Best regards
Jessica";3
j.parker@ziegler-cat.com;o.schneider@ziegler-cat;09.11.2018 11:31:00;441264.484721@ziegler-cat;477122.271939@ziegler-cat;Re:Re:Re:Re: Applicant Software Engineer;"Hello Oscar,

ok, the applicant told me also, that he has been working as a freelancer during the last five years. Does that also count for you?

Best,
Jessica";3
o.schneider@ziegler-cat;j.parker@ziegler-cat.com;09.11.2018 12:31:00;553615.877970@ziegler-cat;441264.484721@ziegler-cat;Re:Re:Re:Re:Re: Applicant Software Engineer;"Hi Jessica,

no we cannot count that as it will be difficult to assess the works the applicant did and also in which quality the code was delivered.

Best,
Oscar";3
j.parker@ziegler-cat.com;o.schneider@ziegler-cat;09.11.2018 14:56:00;478037.649285@ziegler-cat;553615.877970@ziegler-cat;Re:Re:Re:Re:Re:Re: Applicant Software Engineer;"Alright, I will tell the applicant that his experience is not sufficient.

Best,
Jessica";3
j.parker@ziegler-cat.com;m.lloyd@gmail.com;10.11.2018 08:04:00;350277.212500@ziegler-cat;;Your Application at Ziegler-Cat;"Dear Mister Lloyd,

unfortunately your years of working experience are not fitting what we require for the position of Software Engineer.
For this reason we unfortunately cannot consider your application for the named position.
Nevertheless we wish you all the best for your future career!

Best regards
Jessica Parker
Junior Associate Human Resource and Employer Marketing

Ziegler Caterpillar
5300 Harbor Dr Sioux City,
IA 51111
(712) 252-4401.
office@ziegler-cat.com
CONFIDENTIALITY NOTICE: The contents of this email message and any attachments are intended solely for the addressee(s) and may contain confidential and/or privileged information and may be legally protected from disclosure.";4
m.hoffer@hotmail.com;office@ziegler-cat.com;16.01.2018 17:41:00;160567.335587@hotmail;;Application as a Facility Manager;"Dear sir or madam,

I would like to apply as a facility manager at Ziegler Caterpillar. I have been working as a facility manager for the last 12 years and I think that I bring everything it takes to do a good job. Attached you find my motivation letter and resume.

I look forward to hearing from you,
Martin Hoffer";1
j.parker@ziegler-cat.com;m.hoffer@hotmail.com;16.01.2018 17:43:00;671524.535614@ziegler-cat;160567.335587@hotmail;Your Application at Ziegler-Cat;"Dear Mr. Hoffer,

thank you a lot for your appliation which has been well received! Currently, many emails are reaching us - therefore please allow us up to 10 business days to reply to your application.

Thank you for your understanding.

Best regards
Jessica Parker
Junior Associate Human Resource and Employer Marketing

Ziegler Caterpillar
5300 Harbor Dr Sioux City,
IA 51111
(712) 252-4401.
office@ziegler-cat.com
CONFIDENTIALITY NOTICE: The contents of this email message and any attachments are intended solely for the addressee(s) and may contain confidential and/or privileged information and may be legally protected from disclosure.";2
j.parker@ziegler-cat.com;t.hickey@ziegler-cat.com;21.01.2018 09:33:00;644709.428917@ziegler-cat;;Application Facility Manager;"Hello Thomas,

I have an application as facility manager - his profile looks perfectly suitable for the open position at Builidng Management Department. Please find attached his resume.

Best,
Jessica";3
t.hickey@ziegler-cat.com;j.parker@ziegler-cat.com;21.01.2018 13:45:00;535628.165260@ziegler-cat;644709.428917@ziegler-cat;Re: Application Facility Manager;"Hi Jessica,

there seems to be a mistake - currently we are not looking for a Facility Manager..?

Best,
Thomas Hickey";3
j.parker@ziegler-cat.com;t.hickey@ziegler-cat.com;22.01.2018 17:02:00;121949.852759@ziegler-cat;535628.165260@ziegler-cat;Re:Re: Application Facility Manager;"Hi Thomas,

how is that? We have posted the job advertisement on our website and are receiving applications for it. We posted the job advertisement on behalf of your deputy department manager.

Best,
Jessica";3
t.hickey@ziegler-cat.com;j.parker@ziegler-cat.com;23.01.2018 14:23:00;608885.978516@ziegler-cat;121949.852759@ziegler-cat;Re:Re:Re: Application Facility Manager;"Hi Jessica,

that's right - but we already have hired a Facility Manager last week. Your colleague, Miss Mueller was dealing with the process.

Best,
Thomas";3
j.parker@ziegler-cat.com;s.mueller@ziegler-cat.com;23.01.2018 15:30:00;767301.718720@ziegler-cat;;Facility manager - already hired?;"Hi Sarah,

I just forwarded an applicant for the position of facility manager to Thomas Hickey but he told me, they already hired somebody for the job last week. Do you know more?

Best regards,
Jessica";3
s.mueller@ziegler-cat.com;j.parker@ziegler-cat.com;23.01.2018 15:45:00;142055.517304@ziegler-cat;767301.718720@ziegler-cat;Re: Facility manager - already hired?;"Hi Jessica,

yes we found a suitable candidate already. I sent you an email with the information and asked you to close the job advertisement on our webpage..

Best,
Sarah";3
j.parker@ziegler-cat.com;s.mueller@ziegler-cat.com;24.01.2018 08:05:00;744216.361487@ziegler-cat;142055.517304@ziegler-cat;Re:Re: Facility manager - already hired?;"Oh, I just read the email - i must have looked over it. So sorry!
Best,
Jessica";3
j.parker@ziegler-cat.com;m.hoffer@hotmail.com;24.01.2018 09:01:00;538830.561824@ziegler-cat;;Your Application at Ziegler-Cat;"Dear Mister Hoffer,

we are really sorry, there seems to have been a mistake on our side. We are currently not looking for a facility manager. The job advertisement on the webpage is old and should not have been there, we deleted it.

Sorry again for any inconvenience!

Best regards
Jessica Parker
Junior Associate Human Resource and Employer Marketing

Ziegler Caterpillar
5300 Harbor Dr Sioux City,
IA 51111
(712) 252-4401.
office@ziegler-cat.com
CONFIDENTIALITY NOTICE: The contents of this email message and any attachments are intended solely for the addressee(s) and may contain confidential and/or privileged information and may be legally protected from disclosure.";4
